Egg,Sperm,Cross,Timepoint,Conical.ID,Larval.ID,Start,End,censor
NB,B,NBB,7,S18,8,20160712,20160713,0
NB,B,NBB,7,S18,9,20160712,20160713,0
NB,B,NBB,7,S18,10,20160712,20160713,0
NB,B,NBB,7,S18,11,20160712,20160713,0
NB,B,NBB,7,S24,1,20160712,20160713,0
NB,B,NBB,7,S24,2,20160712,20160713,0
NB,B,NBB,7,S24,3,20160712,20160713,0
NB,B,NBB,7,S24,4,20160712,20160713,0
NB,B,NBB,7,S24,5,20160712,20160713,0
NB,B,NBB,7,S24,6,20160712,20160713,0
NB,B,NBB,7,S24,7,20160712,20160713,0
NB,B,NBB,7,S24,8,20160712,20160713,0
NB,B,NBB,7,S24,9,20160712,20160713,0
NB,B,NBB,7,S24,10,20160712,20160713,0
NB,NB,NBNB,7,L10,1,20160712,20160713,0
NB,NB,NBNB,7,L10,2,20160712,20160713,0
NB,NB,NBNB,7,L10,3,20160712,20160713,0
NB,NB,NBNB,7,L10,4,20160712,20160713,0
NB,NB,NBNB,7,L10,5,20160712,20160713,0
NB,NB,NBNB,7,L10,6,20160712,20160713,0
NB,NB,NBNB,7,L10,7,20160712,20160713,0
NB,NB,NBNB,7,L10,8,20160712,20160713,0
NB,NB,NBNB,7,L10,9,20160712,20160713,0
NB,NB,NBNB,7,L10,10,20160712,20160713,0
NB,NB,NBNB,7,L10,11,20160712,20160713,1
NB,NB,NBNB,7,L10,12,20160712,20160713,1
NB,NB,NBNB,7,L10,13,20160712,20160713,1
NB,NB,NBNB,7,L10,14,20160712,20160713,1
NB,NB,NBNB,7,L10,15,20160712,20160713,1
NB,NB,NBNB,7,L15,1,20160712,20160713,0
NB,NB,NBNB,7,L15,2,20160712,20160713,0
NB,NB,NBNB,7,L15,3,20160712,20160713,0
NB,NB,NBNB,7,L15,4,20160712,20160713,0
NB,NB,NBNB,7,L15,5,20160712,20160713,1
NB,NB,NBNB,7,L15,6,20160712,20160713,1
NB,NB,NBNB,7,L15,7,20160712,20160713,1
NB,NB,NBNB,7,L15,8,20160712,20160713,1
NB,NB,NBNB,7,L15,9,20160712,20160713,1
NB,NB,NBNB,7,L15,10,20160712,20160713,1
NB,NB,NBNB,7,L16,1,20160712,20160713,0
NB,NB,NBNB,7,L16,2,20160712,20160713,0
NB,NB,NBNB,7,L16,3,20160712,20160713,0
NB,NB,NBNB,7,L16,4,20160712,20160713,0
NB,NB,NBNB,7,L16,5,20160712,20160713,0
NB,NB,NBNB,7,L16,6,20160712,20160713,0
